vote_outcome_id,council_slug,meeting_date,meeting_type,civicclerk_event_id,agenda_object_item_id,agenda_item_title,action_type,mover,seconder,vote_result,named_vote_available,votes_for_names,votes_against_names,for_count,against_count,source_id,source_url,extracted_on
wil_2025_09_15_3651_11,willoughby,2025-09-15,Ordinary Council Meeting,159,3651,9. Request from Lane Cove Council - LEP Review,Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3651,2026-05-16
wil_2025_09_15_3336_12,willoughby,2025-09-15,Ordinary Council Meeting,159,3336,10. Grants for Community Program - Proposed bi-annual assessment and reporting,Motion,Craig Campbell,Anna Greco,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3336,2026-05-16
wil_2025_09_15_3647_13,willoughby,2025-09-15,Ordinary Council Meeting,159,3647,11. Place Naming Policy (DEFERRED FROM 23 JUNE 2025 MEETING),Motion,Tanya Taylor,Kristina Dodds,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3647,2026-05-16
wil_2025_09_15_3664_14,willoughby,2025-09-15,Ordinary Council Meeting,159,3664,12. Bicentennial Reserve - Renaming to Noel Reidy Parklands (DEFERRED FROM 25 AUGUST 2025 MEETING),Motion,Kristina Dodds,Anna Greco,Carried,true,Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Angelo Rozos,Tanya Taylor; Georgie Roussac; Sarah Royds; Robert Samuel,8,4,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3664,2026-05-16
wil_2025_09_15_3652_15,willoughby,2025-09-15,Ordinary Council Meeting,159,3652,13. Tree protection and growth for Willoughby's wildlife corridors (DEFERRED FROM 25 AUGUST 2025 MEETING),Motion,Kristina Dodds,Georgie Roussac,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,Roy McCullagh,11,1,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3652,2026-05-16
wil_2025_09_15_3643_16,willoughby,2025-09-15,Ordinary Council Meeting,159,3643,14. Outcome of Public Exhibition and Adoption of Coolaroo Reserve Action Plan 2025,Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3643,2026-05-16
wil_2025_09_15_3653_17,willoughby,2025-09-15,Ordinary Council Meeting,159,3653,"1. Notice of Motion 25/2025 - Acknowledgement of Brian Norton, Community Advocate and Past President of Northbridge Football Club (DEFERRED FROM 25 AUGUST 2025 COUNCIL MEETING)",Motion,Roy McCullagh,Angelo Rozos,Carried,true,Tanya Taylor; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,11,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3653,2026-05-16
wil_2025_09_15_3654_18,willoughby,2025-09-15,Ordinary Council Meeting,159,3654,2. Notice of Motion 26/2025 - Sydney North Planning Panel (DEFERRED FROM 25 AUGUST 2025 COUNCIL MEETING),Motion,Anna Greco,Roy McCullagh,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3654,2026-05-16
wil_2025_09_15_3655_19,willoughby,2025-09-15,Ordinary Council Meeting,159,3655,3. Notice of Motion 27/2025 - Code of Conduct Investigations (DEFERRED FROM 25 AUGUST 2025 COUNCIL MEETING),Motion,Roy McCullagh,Angelo Rozos,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3655,2026-05-16
wil_2025_09_15_3656_20,willoughby,2025-09-15,Ordinary Council Meeting,159,3656,4. Notice of Motion 28/2025 - Private Schools should Pay Council Rates (DEFERRED FROM 25 AUGUST 2025 COUNCIL MEETING),Motion,Roy McCullagh,John Moratelli,Carried,true,Tanya Taylor; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Sarah Royds; Robert Samuel,Craig Campbell,9,1,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3656,2026-05-16
wil_2025_09_15_3657_21,willoughby,2025-09-15,Ordinary Council Meeting,159,3657,5. Notice of Motion 29/2025 - Proposal for letter to Minister Graham re development increased traffic concerns (DEFERRED FROM 25 AUGUST 2025 COUNCIL MEETING),Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3657,2026-05-16
